ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE,AGE_CAR_SEGMENT
00001Q15YJ,50,0,445344.0,439,0,3
00003I71CQ,35,0,107634.0,283,0,2
00003N47FS,59,1,502787.0,390,1,3
00005H41DE,43,0,585664.0,475,0,3
00007E17UM,39,1,705723.0,497,1,3
00007I26OR,28,1,389995.0,443,1,3
00015B11UO,54,0,85056.0,425,0,3
00020K99TA,28,1,453584.0,173,0,1
00020W72QC,25,1,324575.0,300,0,2
00022F48XA,47,0,363206.0,474,1,3
00026X43XZ,61,0,292983.0,210,0,2
00031Q27QZ,33,1,438941.0,100,1,1
00032B38ZX,50,0,478445.0,329,1,2
00033C02IM,25,0,277729.0,430,1,3
00034P01OK,45,0,385604.0,492,1,3
00038B31VO,51,1,159413.0,585,1,4
00039X03RX,25,0,227439.0,23,0,1
00040B49KN,43,0,572440.0,356,0,2
00040O73KD,35,0,240251.0,536,1,4
00045U73GK,58,1,205192.0,876,1,4
00049M22HG,35,0,108590.0,400,0,3
00052E59WH,53,1,436709.0,510,1,4
00056R56IH,53,1,370768.0,96,0,1
00057N31MO,30,1,396397.0,285,1,2
00059Q04KC,49,1,458992.0,265,0,2
00061K54RB,43,0,485917.0,273,1,2
00062R49DY,37,0,361216.0,243,0,2
00067S81IY,26,1,341240.0,377,0,3
00069Q75MB,35,1,277725.0,106,0,1
00069R58QN,51,0,607229.0,485,0,3
00070L09VD,40,0,328247.0,336,0,2
00073G60ML,64,1,358005.0,426,1,3
00074E80ZM,59,0,450981.0,258,1,2
00078B50YA,34,1,216371.0,231,0,2
00083A72KE,50,1,730685.0,406,1,3
00085N14CA,34,0,146852.0,357,0,2
00086Y65GU,65,1,420083.0,666,0,4
00088T31UB,51,1,131949.0,783,1,4
00090Q78CZ,62,1,136267.0,390,0,3
00091B82ZO,65,1,409160.0,228,1,2
00093J67SK,52,0,256962.0,139,0,1
00095Q17AL,25,1,365515.0,236,0,2
00099K86CW,62,0,682251.0,344,0,2
00101P10AC,47,0,184303.0,385,1,3
00104R23KJ,41,1,366200.0,370,1,3
00105P34KP,39,0,793683.0,943,1,4
00105Z55XB,28,1,134835.0,313,0,2
00107Y54OB,27,0,192229.0,805,1,4
00108X61TB,29,0,218007.0,431,1,3
00111A34ML,42,0,442952.0,213,0,2
00113N53ZL,59,0,669568.0,276,1,2
00115C31GT,25,1,387785.0,477,1,3
00118J08EC,47,1,275520.0,304,0,2
00122X31AB,58,1,401832.0,225,0,2
00124L11WJ,50,0,576933.0,132,1,1
00126P38RZ,59,0,396243.0,95,1,1
00127P24GO,37,0,234791.0,277,1,2
00129H75QI,58,1,311133.0,430,1,3
00130C94GP,33,0,296322.0,220,0,2
00137X41CD,49,0,363144.0,388,1,3
00139F51QE,46,0,315221.0,263,1,2
00140V89YT,36,0,779277.0,489,1,3
00141I56XV,40,1,292216.0,205,0,2
00142J61TJ,37,1,453501.0,95,0,1
00149E58QC,40,0,197281.0,436,1,3
00149V45IO,27,0,248446.0,640,1,4
00152W66MO,36,1,419744.0,93,0,1
00163W34YW,52,1,380120.0,407,1,3
00166U36NR,26,1,146413.0,202,0,2
00172I72UL,61,0,529399.0,850,1,4
00173Q33YX,60,1,150611.0,315,1,2
00174P76OQ,59,0,737673.0,525,1,4
00177D07HX,61,1,366653.0,748,0,4
00184X69JT,42,0,397493.0,241,1,2
00186P04PT,33,0,292406.0,323,0,2
00187N85DF,63,1,331237.0,433,1,3
00188E43DF,60,0,240020.0,258,1,2
00189M02HG,64,0,121018.0,311,0,2
00191S39KZ,46,0,373478.0,367,1,3
00195G41IU,32,1,384016.0,272,1,2
00195P25IN,30,1,213547.0,230,0,2
00195Q10ZP,35,0,257308.0,40,0,1
00197O44XP,34,0,282501.0,823,1,4
00198D05HX,51,1,252155.0,240,0,2
00198H12HX,57,0,480760.0,899,1,4
00198H71BB,26,0,132599.0,436,0,3
00201E56ZV,64,1,153181.0,275,0,2
00202X22MN,53,1,431624.0,296,0,2
00205O79UQ,38,0,498894.0,296,1,2
00209O01CF,65,1,97627.0,468,1,3
00213H22RL,37,0,324297.0,301,1,2
00214G18BG,49,1,547755.0,296,1,2
00214H08FS,31,1,405807.0,353,0,2
00218H09KC,65,1,159648.0,830,1,4
00218V46WS,62,1,105133.0,311,0,2
00221E71ZX,49,0,298254.0,266,1,2
00222P84OU,36,1,282392.0,462,1,3
00223L77HZ,63,0,414729.0,595,1,4
00226J79YI,59,0,412753.0,198,0,1
00227R80JC,47,0,398253.0,327,1,2
00228R68ZE,43,1,525024.0,479,1,3
00228Z35MR,43,0,405642.0,201,0,2
00230U63RP,54,1,92864.0,78,1,1
00232B56RM,55,1,308715.0,317,0,2
00237O77NS,31,1,357850.0,480,1,3
00250P24JI,45,0,352042.0,94,1,1
00251B45QQ,62,1,407427.0,373,0,3
00251D05TO,30,0,298431.0,496,1,3
00255A68BB,29,0,159186.0,302,1,2
00257F20SW,34,1,448273.0,87,0,1
00260M66JI,25,1,344519.0,450,0,3
00261M80HZ,62,0,293809.0,269,0,2
00263W23XQ,58,0,521180.0,624,1,4
00264J96QC,29,1,193331.0,274,0,2
00273F04YP,63,0,491967.0,370,1,3
00277V91XO,63,0,364455.0,319,1,2
00279E12YC,33,1,329426.0,224,0,2
00281H13IL,32,0,137376.0,262,0,2
00282H90KM,46,0,623584.0,348,1,2
00283Q67LW,33,1,440311.0,286,0,2
00283R71ZE,44,1,327656.0,271,0,2
00284C65GH,30,1,286077.0,358,1,2
00289N46JG,40,0,156705.0,145,0,1
00299I24KW,42,0,547376.0,722,1,4
00302F94QD,50,1,418992.0,37,0,1
00302J37VM,40,1,410179.0,33,0,1
00309P39HF,60,0,245295.0,269,0,2
00310Q42MZ,33,0,130517.0,322,0,2
00315I46PY,62,1,502571.0,253,1,2
00318K61KI,61,1,231939.0,505,1,4
00319G52KN,39,1,402819.0,293,0,2
00319W54HL,33,0,126085.0,65,1,1
00327I16CN,34,1,300107.0,280,0,2
00332G98OD,52,0,548641.0,263,0,2
00333G45BT,55,1,452491.0,414,1,3
00335D45ZO,38,0,250767.0,81,0,1
00336T66SQ,61,0,739615.0,490,1,3
00342X44FK,50,0,410704.0,312,0,2
00345D80KY,56,1,460232.0,454,1,3
00349F03KO,42,0,383210.0,323,0,2
00352T67FO,50,1,428269.0,359,0,2
00361H11UT,26,0,201025.0,204,1,2
00364V23LI,50,0,703957.0,224,1,2
00365W93ZJ,47,0,448851.0,442,0,3
00367J12EU,49,0,313491.0,319,0,2
00370E34LE,51,1,460696.0,613,1,4
00373G59CP,34,0,212101.0,20,0,1
00375D60YS,39,1,403288.0,267,1,2
00376J00ZZ,36,1,359117.0,380,1,3
00379Z36SA,30,0,206429.0,265,0,2
00382V59DF,31,0,171595.0,462,1,3
00383N03UQ,39,0,158799.0,455,0,3
00385Q88UV,56,0,450129.0,449,1,3
00389G25SI,44,0,594891.0,848,1,4
00398Y03ZM,64,0,325588.0,91,0,1
00401K86FK,62,1,423189.0,546,1,4
00401O09TQ,49,1,297603.0,338,0,2
00403U35TW,28,1,139173.0,406,1,3
00408L45WP,61,1,369072.0,82,0,1
00408Y08KQ,32,0,151120.0,331,1,2
00410R16TC,25,1,398736.0,279,0,2
00417A28PT,28,0,215760.0,418,1,3
00419G61MI,38,1,317861.0,341,0,2
00419O42OQ,52,0,215426.0,298,1,2
00419V35NQ,43,0,366221.0,431,1,3
00429R01AE,30,0,139415.0,249,0,2
00431G07OO,52,0,431286.0,399,1,3
00436Y85OW,49,1,750840.0,496,1,3
00440N64KQ,51,0,195015.0,84,0,1
00444U00JB,32,1,488667.0,15,0,1
00453H15DP,33,0,267485.0,397,1,3
00455K70WT,41,0,420102.0,330,0,2
00459L34ID,54,1,530883.0,302,0,2
00461I28ID,46,0,326522.0,361,1,3
00464V67EK,35,1,240805.0,281,1,2
00473N34QJ,46,0,539405.0,927,1,4
00475I88MC,43,0,259877.0,428,1,3
00493W41NP,32,1,330119.0,396,1,3
00500S08SF,39,0,280888.0,498,1,3
00501G72LQ,36,1,427181.0,265,0,2
00501L02HF,53,0,339461.0,238,1,2
00501T24RS,32,0,269414.0,333,0,2
